,Date,cruise,PAR
13972,2021-12-01 15:00:00+00:00,TN397_130,134.9262
13974,2021-12-01 16:00:00+00:00,TN397_130,883.8931500000001
13976,2021-12-01 17:00:00+00:00,TN397_130,1649.6106
13978,2021-12-01 18:00:00+00:00,TN397_130,1764.2805500000002
13980,2021-12-01 19:00:00+00:00,TN397_130,2191.3574
13982,2021-12-01 20:00:00+00:00,TN397_130,2296.60185
13984,2021-12-01 21:00:00+00:00,TN397_130,2144.9200499999997
13986,2021-12-01 22:00:00+00:00,TN397_130,2339.4471000000003
13988,2021-12-01 23:00:00+00:00,TN397_130,2162.89885
13990,2021-12-02 00:00:00+00:00,TN397_130,1668.53555
13992,2021-12-02 01:00:00+00:00,TN397_130,686.87405
13994,2021-12-02 02:00:00+00:00,TN397_130,349.53560000000004
13996,2021-12-02 03:00:00+00:00,TN397_130,5.572
13998,2021-12-02 04:00:00+00:00,TN397_130,0.01345
14000,2021-12-02 05:00:00+00:00,TN397_130,0.01595
14003,2021-12-02 07:00:00+00:00,TN397_130,0.018142857142857145
14005,2021-12-02 08:00:00+00:00,TN397_130,0.016300000000000002
14007,2021-12-02 09:00:00+00:00,TN397_130,0.01955
14009,2021-12-02 10:00:00+00:00,TN397_130,0.0227
14011,2021-12-02 11:00:00+00:00,TN397_130,0.025
14013,2021-12-02 12:00:00+00:00,TN397_130,0.01755
14015,2021-12-02 13:00:00+00:00,TN397_130,0.02265
14017,2021-12-02 14:00:00+00:00,TN397_130,1.4154
14019,2021-12-02 15:00:00+00:00,TN397_130,96.30199999999999
14021,2021-12-02 16:00:00+00:00,TN397_130,632.79355
14023,2021-12-02 17:00:00+00:00,TN397_130,1327.5149999999999
14025,2021-12-02 18:00:00+00:00,TN397_130,2036.5448000000001
14027,2021-12-02 19:00:00+00:00,TN397_130,2342.0891500000002
14029,2021-12-02 20:00:00+00:00,TN397_130,2329.4937
14031,2021-12-02 21:00:00+00:00,TN397_130,2376.8629
14033,2021-12-02 22:00:00+00:00,TN397_130,2359.9612
14035,2021-12-02 23:00:00+00:00,TN397_130,2334.6169
14037,2021-12-03 00:00:00+00:00,TN397_130,2155.4861
14039,2021-12-03 01:00:00+00:00,TN397_130,1442.8744000000002
14041,2021-12-03 02:00:00+00:00,TN397_130,694.8569
14043,2021-12-03 03:00:00+00:00,TN397_130,12.62365
14045,2021-12-03 04:00:00+00:00,TN397_130,0.014818181818181819
14047,2021-12-03 05:00:00+00:00,TN397_130,0.018666666666666668
14049,2021-12-03 06:00:00+00:00,TN397_130,0.02015
14051,2021-12-03 07:00:00+00:00,TN397_130,0.0173
14053,2021-12-03 08:00:00+00:00,TN397_130,0.017249999999999998
14055,2021-12-03 09:00:00+00:00,TN397_130,0.01845
14057,2021-12-03 10:00:00+00:00,TN397_130,0.0198
14059,2021-12-03 11:00:00+00:00,TN397_130,0.0185
14061,2021-12-03 12:00:00+00:00,TN397_130,0.020649999999999998
