cruise,Cruise ID,Project,R2R doi,Location,Year,Month,Day Of Year,Instrument,Ship,Operator,S3,Realtime DB,Discrete samples,Beads,Metadata,Filtration,Gating,Curation,Zenodo,Database size (Gb),References,Comments
CMOP_1,W0903A,CMOP,10.7284/900616,Columbia River,2009,May,,740,R/V Wecoma,Swalwell - Ribalet,,,,"
",,,,,,,,"this has no sds.tab file, will need to get data"
Thompson_0,TN243,H2O,10.7284/904001,Puget Sound,2009,November,,740,R/V Thomas G Thompson,Swalwell - Ribalet,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,Ribalet et al. 2011,"Little/no Pro.  ""Croco"" is probably cryptophytes."
CMOP_3,W1005A,CMOP,10.7284/904064,Columbia River,2010,May,141 - 147,740,R/V Wecoma,Ribalet,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,LAT/LON missing for nearly 400 points; no PAR; > 30 files in SFL not in EVT dir
Thompson_1,TN248,-,10.7284/904006,Gulf of Alaska,2010,May,,740,R/V Thomas G Thompson,Swalwell,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.4,Pavlesky et al. 2013; Hyrkas et al. 2016,NO DATA IN R2R FOR THIS CRUISE; some lat missing; no PAR available; event rate = -1
Thompson_2,TN250,-,10.7284/904008,Bering Sea,2010,June,,740,R/V Thomas G Thompson,OTG,,,,,,,,,,,,bad seaflow data
CMOP_4,CMOP_4,CMOP,,Columbia River,2010,July,211,740,SATURN-03,,,,,,,,,,,,,Pilot project to test instrument
Thompson_3,TN252,-,10.7284/904069,OR-WA coast,2010,July,,740,R/V Thomas G Thompson,OTG,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,,,"Large gaps in FSC that may or may not be remedied by multi-location filtration. Beads not visible for most of the cruise. Some data look good, but much of the cruise is difficult to interpret."
Thompson_4,TN257,-,10.7284/904013,Seattle - Hawaii,2010,November,,740,R/V Thomas G Thompson,Ribalet - Swalwell,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,Ribalet et al. 2015,D2 PMT too low; Large Qc and diameter; multiple bead locations
Thompson_5,TN260,-,10.7284/102414,Hawaii,2011,January,,740,R/V Thomas G Thompson,OTG,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,Swalwell et al. 2011,2 FSC settings; Large Qc and diameter
Thompson_6,TN264,-,10.7284/904018,OR-WA coast,2011,May,,740,R/V Thomas G Thompson,OTG,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Thompson_6b,TN265,-,10.7284/904019,OR-WA coast,2011,June,,740,R/V Thomas G Thompson,OTG,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,troncated D1 and D2
Tokyo_1,Tokyo_1,-,,North Pacific,2011,May,136 - 150,751,M/V Tokyo,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,CHL gain too low to see Prochlorococcus; check where longitude switches from E to W; no PAR; no event rate; beads move and many cytograms have no beads; double Syn populations near coast (high phycocyanin?)
Tokyo_2,Tokyo_2,-,,North Pacific,2011,July,178 - 191,751,M/V Tokyo,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,TRIGGER likely too high to see smallest Prochlorococcus; crosses IDL--check longitude; no PAR; no event rate; PE sometime too low to distinguish Syn
Thompson_7,TN268,-,10.7284/904068,OR-WA coast,2011,August,,740,R/V Thomas G Thompson,,TRUE,,FALSE,TRUE,,,,,,,,truncated D1 and D2
MBARI_1,CN11ID,CalCoFI line 67,,California current,2011,October,,989,R/V Western Flyer,Ribalet - Swalwell,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8.1,Ribalet et al. 2015,high event rates (76% files > 18000 evt / sec)
Thompson_8,TN270,-,10.7284/102776,Puget Sound,2011,October,,740,R/V Thomas G Thompson,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,troncated D1 and D2
Thompson_9,TN271,Carbon Nitrate,10.7284/904027,Seattle - Hawaii,2011,October,,740,R/V Thomas G Thompson,Ribalet - Swalwell,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.6,Ribalet et al. 2015,"CALIBRATED evt, troncated D1 and D2"
Tokyo_3,Tokyo_3,Tokyo,,North Pacific,2011,October,262 - 275,751,M/V Tokyo,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,"Stream pressure is NOT around 12; crosses IDL--check longitude; file write errors for sds files in ""position"" column insert extra carriage returns; no PAR; double Syn populations near coast (high phycocyanin?)"
Tokyo_4,Tokyo_4,-,,North Pacific,2012,January,031 - 037,751,M/V Tokyo,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,"Stream pressure < 5; at end of cruise picoeuks are abnormally high and Pro is low. Given location, the low Pro and low pe of Syn may be due to a change in instrument settings."
Tokyo_5,Tokyo_5,-,,North Pacific,2012,April,121 - 134,751,M/V Tokyo,,TRUE,FALSE,FALSE,TRUE,,,,,FALSE,,,No LAT/LON
Thompson_10,TN280,GeoMICS,10.7284/903017,WA coast - Puget Sound,2012,May,,740,R/V Thomas G Thompson,Ribalet - Swalwell,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.8,,fixed gaps in lat/lon coords
Tokyo_6,Tokyo_6,-,,North Pacific,2012,July ,206 - 219,751,M/V Tokyo,,TRUE,FALSE,FALSE,TRUE,,,,,,,,No LAT/LON
MBARI_2,CN12ID,CalCoFI line 67,,California current,2012,September,,989,R/V Western Flyer,Ribalet,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3.9,,
Thompson_11,TN291,-,10.7284/904038,WA coast - Puget Sound,2013,January,,740,R/V Thomas G Thompson,Ribalet,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,
